Cotizacion,Producto Solicitado,Producto Ofrecido,U. Medida,Cantidad,Costo x Unidad,Costo x Unidad SIN IGV en Soles,Precio Venta x Unidad,Link,Observaciones,Habilitar y Deshabilitar,Adjunto,Adjunto Ficha Tecnica,Imagen Referencial,Ultima revisión,TRAZA,OC a proveedor
47630ddf50e6f0e4,5a76b72b,"MONITOR LG 21.5’’ (22MN430M-B), 1920 X 1080 (FHD) IPS, 2 HDMI, 1 VGA.",Unidad,2,550.5,466.53,601.17,,,Deshabilitado,,,,,152e43f1,
47630ddf50e6f0e4,3d56f01b,TECLADO INALAMBRICO  + MOUSE INALAMBRICO GENIUS KB-8200,Unidad,15,78.4,66.44,82.1,,,Deshabilitado,,,,,1ac5849a,
47630ddfb5351092,3d56f01b,"TECLADO INALAMBRICO  + MOUSE INALAMBRICO TEROS TE-4070 N,  2.04 GHz , Español, Negro.",Unidad,15,59.9,50.76,82.1,https://dasmitec.pe/productos/kit-inalambrico-teclado-mouse-teros-te-4070n-2-4-ghz-espanol-negro/,,Deshabilitado,,,,,d79583f9,
47630ddf05708cfd,3d56f01b,COMBO LOGITECH: TECLADO + MOUSE MK220 WIRELESS USB SP BLA,Unidad,15,77.5,77.5,82.1,https://www.memorykings.com.pe/producto/327993/teclado-mouse-wireless-antryx-ws960-black,,Deshabilitado,,,,,aedc03a3,
47630ddf05708cfd,5a76b72b,MONITOR 22” SAMSUNG LF22T350FHLXPE iPS FHD HDMi/VG,Unidad,2,567.5,567.5,601.17,,,Habilitado,,,,,398d553b,
47630ddf05708cfd,881845a2,"SOPORTE PARA MONITOR KLIP XTREME KPM-300 13"" a 32""",Unidad,7,89,89,94.28,,,Habilitado,,,,,3546cfec,
47630ddf44df07f0,3d56f01b,TECLADO INALAMBRICO  + MOUSE INALAMBRICO Antryx DS WS960,Unidad,15,80,80,82.1,,,Deshabilitado,,,,,7f6a815c,
47630ddf44df07f0,5a76b72b,"Monitor Lg 22Mn430M 22""",Unidad,2,639,639,601.17,https://www.plazavea.com.pe/monitor-lg-22mn430m-22--100162583/p,,Deshabilitado,,,,,25ecd1bc,
47630ddf44df07f0,881845a2,"Rack para Monitor Klip Xtreme KPM-300, 13""-32""",Unidad,7,149,149,94.28,https://www.plazavea.com.pe/rack-para-monitor-klip-xtreme-kpm-300-13--32--100127381/p,,Deshabilitado,,,,,1ff937ef,
47630ddf457d6b2f,553486da,SOPORTE PARA LAPTOP 3M LX550,Unidad,16,28.98,24.559,115.12,,Cantidad debe ser multiplo de 4,Habilitado,,,,,e6cf1025,
cff1de249f73c427,d5c875c4,"Silla PRESIDENTE LIMS. SISTEMA NEUMÁTICO DE ELEVACIÓN DE ALTURA MEDIANTE PISTÓN A GAS. SISTEMA DE RECLINACIÓN SYNCRO CON BLOQUEO EN 4 POSICIONES. ESPALDAR DE MALLA DE NYLON, REGULABLE EN ALTURA, CON BORDE DE POLIPROPILENO NEGRO. ASIENTO INYECTADO DESLIZABLE EN PROFUNDIDAD, TAPIZADO EN TELA NEGRA. CARCASA INFERIOR DE POLIPROPILENO NEGRO BAJO EL ASIENTO. APOYO LUMBAR ACOLCHADO, REGULABLE EN ALTURA Y PROFUNDIDAD. BRAZOS DE POLIPROPILENO NEGRO REGULABLE 3D (altura, profundidad y ángulo). BASE DE ALUMINIO PULIDO TIPÓ EUROPA DE 5 PUNTAS.  GARRUCHAS DE NYLON NEGRO.",Unidad,9,610.79,610.79,647.02,,,Habilitado,,,,,09ed1943,553afaff
